id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
52,1928,Gift to the Public Library of San Francisco by the people and mayor of Stratford-upon-Avon.,"32"" H","37.7688781,-122.4671799",Public Display,District 1,Golden Gate Park,Shakespeare Garden,San Francisco Arts Commission,bronze,bronze,"Bullock, George",William Shakespeare
53,1928,Gift of James D. Phelan,2' H statue on a 5' H granite shaft,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,bronze,bronze,"Paitigan, Haig",Edward Robeson Taylor (1838-1923)
54,1929,Gift of the Norwegian men and women of San Francisco.,"SC: 32 X 27 X 6 "" Granite pedestal: 134 X 40 X 42 ""","37.7704354,-122.5108707",Public Display,District 1,Golden Gate Park,"JFK, at Great Highway",San Francisco Arts Commission,"bronze, granite",bronze and red norwegian granite,"Jauchen, Hans",Roald Amundsen (1872-1928)
55,1930,Purchased in 1930 by popular subscription (52 parlors of the Native Sons and Daughters of the Golden,,"37.7715966,-122.473305",Public Display,District 1,Golden Gate Park,Redwood Memorial Grove,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Doughboy
56,1932,Placed in 1932 by the Commonwealth Club of California and Pacific Telephone and Telegraph Co.,"30"" X 41"" L","37.7906482,-122.4048711",Public Display,District 3,444 Bush St.,,San Francisco Arts Commission,bronze,bronze,"Schnier, Jacques",California Theater Plaque
57,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Air: The Hunters
58,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Air: The Windmill
59,1933,Commissioned for the Panama-Pacific International Exposition.,,"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Earth: Dancing the Grapes
60,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Earth: The Fruit Pickers
61,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Fire: Primitive Fire
