id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
581,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L6 : East Wall,,,San Francisco Arts Commission,Untitled
582,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L6 : Northeast Wall,Cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Earth
583,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L6 : Southeast Wall,Cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Air
584,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1865-1906: The Foundation of the Almshouse and Relief Home at Laguna Honda
585,2009,"deSoto, Lewis",2004-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Woven
586,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1908: The Construction of Clarendon Hall
587,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1909: President Theodore Roosevelt Visits the Relief Home at Laguna Honda
588,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,"1926: Mayor James Rolf, Jr. Dedicates the Laguna Honda Main Hospital Building"
589,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1929-1941: Patient Care During the Great Depression
590,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,"1947-1954: University of California, San Francisco . . ."
591,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1949-1958: Community Activities at Laguna Honda
592,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,"1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered"
593,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,"1954-1997: Virginia Leishman, Nursing Director"
594,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1974-1977: Gerald Simon Theater Entertains the Community
595,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1990-2000: Volunteers Contribute to Life at Laguna Honda
596,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1994: Staff and Residentes Celebrate the Rededication of the Bell Tower
597,2009,"deSoto, Lewis",2004-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,1999: Proposition A for the Laguna Honda Project Gets 73% Voter Approval
598,2009,"Garten, Cliff",01/01/1970 12:33:30 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,Bronze,bronze,San Francisco Arts Commission,Laguna Line (The Possibility of the Everyday)
599,2009,"Glatt, Linnea",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Courtyard E,Fiberglass,fiberglass,San Francisco Arts Commission,Re-connection/Re-cognition
600,2009,"Carey, Michael",03/01/2009 08:00:00 AM +0000,,168 in.,"-122.4649463,37.7516878","37.7516878,-122.4649463",Public Display : District 7 : J.P. Murphy Clubhouse : 9th Avenue and Pacheco,"patina-finished cast bronze, corten steel, concrete","patina-finished cast bronze, corten steel, concrete",San Francisco Arts Commission,Woman with Birds
601,2009,"Hall, Diane Andrews",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Northwest Wall #2,Tapestry,tapestry,San Francisco Arts Commission,Rollers
602,2009,"Hall, Diane Andrews",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Southwest Wall #2,Tapestry,tapestry,San Francisco Arts Commission,Swelling Cumulus
603,2009,"Hall, Diane Andrews",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Northeast Wall,Tapestry,tapestry,San Francisco Arts Commission,Bird and Poem
604,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Northwest Wall #1,Mixed media,mixed media,San Francisco Arts Commission,Untitled
605,2009,"Hoff, Terry",2005-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North and South Residence : L2,Mixed media,mixed media,San Francisco Arts Commission,Untitled
606,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Northwest Wall #2,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
607,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Southwest Wall #1,Mixed media,mixed media,San Francisco Arts Commission,Untitled
608,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Southwest Wall #2,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
609,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Dining Wall,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboard)
610,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : East Wall,Mixed media,mixed media,San Francisco Arts Commission,It's Always Time for Flowers
611,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Northeast Wall,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
612,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L2 : Southeast Wall,Mixed media,mixed media,San Francisco Arts Commission,Untitled
613,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : Northwest Wall #1,Mixed media,mixed media,San Francisco Arts Commission,Untitled
614,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : Northwest Wall #2,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
615,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : Southwest Wall #1,Mixed media,mixed media,San Francisco Arts Commission,Untitled
616,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : East Wall,Mixed media,mixed media,San Francisco Arts Commission,It's Always Time for Flowers
617,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : Southwest Wall #2,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
618,2009,"Hoff, Terry",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L2 : Northeast Wall,Mixed media,mixed media,San Francisco Arts Commission,Untitled (Chalkboards)
619,2009,"Murrill, Gwynn",01/01/1970 12:33:27 AM +0000,"Collection of the City and County of San Francisco
Purchased for the San Francisco Zoo by the San Francisco Arts Commission",80 1/2 in. x 13 in. x 18 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 7 : Zoo : Animal Resource Center,Bronze and limestone,bronze and limestone,San Francisco Arts Commission,Hawk V
620,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L4 : Northwest Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
621,2009,"Huang, Arlan",01/01/1970 12:33:30 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North and South Residences : L4,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
622,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L4 : Southwest Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
623,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L4 : East Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
624,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L4 : Northeast Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
625,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L4 : Southeast wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
626,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L4 : Northwest Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
627,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L4 : Southwest Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
628,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L4 : East Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
629,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L4 : Northeast Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
630,2009,"Huang, Arlan",01/01/1970 12:33:27 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L4 : Southeast Wall,Blown and laminated glass,blown and laminated glass,San Francisco Arts Commission,Untitled glass panels]
631,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,10 in. x 84 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Northwest Wall #1,Wood and powder coated stainless steel,wood and powder coated stainless steel,San Francisco Arts Commission,Untitled wood relief]
632,2009,"Igarashi, Takenobu",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital,"Glazed ceramic, wood and stainless steel","glazed ceramic, wood and stainless steel",San Francisco Arts Commission,Horizontal Feeling
633,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,16 in. x 44 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Northwest Wall #2,Wood and powder coated stainless steel,wood and powder coated stainless steel,San Francisco Arts Commission,Untitled wood relief]
634,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,10 in. x 84 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Southwest Wall #1,Wood and powder coated stainless steel,wood and powder coated stainless steel,San Francisco Arts Commission,Untitled wood relief]
635,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,16 in. x 44 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Southwest Wall #2,Wood and powder coated stainless steel,wood and powder coated stainless steel,San Francisco Arts Commission,Untitled wood relief]
636,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,10 in. x 84 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : East Wall,Glazed ceramic and powder coated stainless steel,glazed ceramic and powder coated stainless steel,San Francisco Arts Commission,Untitled ceramic relief]
637,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,10 in. x 60 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Northeast Wall,Glazed ceramic and powder coated stainless steel,glazed ceramic and powder coated stainless steel,San Francisco Arts Commission,Untitled ceramic relief]
638,2009,"Igarashi, Takenobu",01/01/1970 12:33:27 AM +0000,,10 in. x 60 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : Mezzanine : Southeast Wall,Glazed ceramic and powder coated stainless steel,glazed ceramic and powder coated stainless steel,San Francisco Arts Commission,Untitled ceramic relief]
639,2009,"Igarashi, Takenobu",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : Link : Mezzanine : Dining Room,terra cotta,terra cotta,San Francisco Arts Commission,Landscape
640,2009,"Igarashi, Takenobu",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : Link : Mezzanine : Living Room,terra cotta,terra cotta,San Francisco Arts Commission,Landscape
