id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
513,2005,"Rodriguez, Isis",07/26/2003 07:00:00 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 9 : Parque Ninos Unidos, 23rd and Treat",,,San Francisco Arts Commission,Los Ninos del Sol
514,2005,"Saulls, Vicki",01/01/1970 12:33:25 AM +0000,,,"-122.4122163,37.8024531","37.8024531,-122.4122163",Public Display : District 3 : North Beach Pool,,,San Francisco Arts Commission,Nuotatori
515,2005,"Saulls, Vicki",01/01/1970 12:33:25 AM +0000,,,"-122.4122163,37.8024531","37.8024531,-122.4122163",Public Display : District 3 : North Beach Pool,,,San Francisco Arts Commission,Locus
516,2005,"Wehrle, John",01/01/1970 12:33:25 AM +0000,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission for the San Francisco Public Library.,,"-122.4659468,37.7142194","37.7142194,-122.4659468",City Department : SFPL: Ocean View Branch,"Acrylic paint, glazed ceramic tile, linoleum and polystyrene","acrylic paint, glazed ceramic tile, linoleum and polystyrene",San Francisco Arts Commission,Words Fly Away
517,2005,"Blackstone, Amy",01/01/1970 12:33:25 AM +0000,,,"-122.420433,37.763376","37.763376,-122.420433",Public Display : District 9 : Hoff Street Playground,,,San Francisco Arts Commission,Untitled
518,2005,"Blackstone, Amy",01/01/1970 12:33:25 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Helen Wills Playground,,,San Francisco Arts Commission,"Earth, Fire, and Water"
519,2005,"Stutz, Michael",01/01/1970 12:33:25 AM +0000,,,"-122.389979,37.615223","37.615223,-122.389979",Airport : T1 : Boarding Area C : Gate 43,,,San Francisco Arts Commission,Cardboard Kore
520,2005,"Crutcher, Colette and Barr, Aileen",01/01/1970 12:33:25 AM +0000,,,"-122.4737841,37.7618763","37.7618763,-122.4737841",Public Display : District 4 : 16th Avenue,,,San Francisco Arts Commission,16th Avenue Tiled Steps Project
521,2006,"Serlin, Merle Axelrad",01/01/1970 12:33:24 AM +0000,,48 in. x 50 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,Fabric collage,fabric collage,San Francisco Arts Commission,Marin Headlands
522,2006,"Serlin, Merle Axelrad",01/01/1970 12:33:23 AM +0000,,43 in. x 50 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,Fabric collage on canvas backing,fabric collage on canvas backing,San Francisco Arts Commission,Cliffs at Land's End
523,2006,"Serlin, Merle Axelrad",01/01/1970 12:33:23 AM +0000,,43 in. x 50 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Link Building : L1,Fabric collage with canvas backing,fabric collage with canvas backing,San Francisco Arts Commission,Bay Area Foothills
524,2006,"Saulls, Vicki Ann",01/01/1970 12:33:25 AM +0000,,15 3/4 in. x 15 3/4 in. x 1 1/2 in.,"-122.4365358,37.7598405","37.7598405,-122.4365358",Public Display : District 8 : Eureka Valley Recreation Center,cast concrete,cast concrete,San Francisco Arts Commission,Welcome Hands
525,2006,"Saulls, Vicki Ann",01/01/1970 12:33:25 AM +0000,,30 in. x 120 in. x 4 in.,"-122.4365358,37.7598405","37.7598405,-122.4365358",Public Display : District 8 : Eureka Valley Recreation Center,cold-cast bronze and aluminum,cold-cast bronze and aluminum,San Francisco Arts Commission,From the Heart Outwards
526,2006,"Koloski, Vince",01/01/1970 12:33:26 AM +0000,,60 in. x 480 in.,"-122.393081,37.775209","37.775209,-122.393081","Public Display : District 10 : Mission Bay Library, 960 4th Street",Mixed media,mixed media,San Francisco Arts Commission,A Library Book
527,2006,"deSoto, Lewis",01/01/1970 12:33:26 AM +0000,,variable,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Areas A and G,Mixed media,mixed media,San Francisco Arts Commission,"Shining Paths,San Francisco Sister Cities"
528,2007,"Pijoan, Irene",2004-2006,,72 in. x 72 in.,"-122.4059601,37.7770166","37.7770166,-122.4059601","Public Display : District 6 : Victoria Manalo Park, SOMA",stainless steel,stainless steel,San Francisco Arts Commission,Untitled
529,2007,"Hsu, Joyce",01/01/1970 12:33:26 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 1 : Argone Playground : 18th Ave. and Anza,Aluminum,aluminum,San Francisco Arts Commission,Incomplete Metamorphosis
530,2007,"Shaw, Richard",01/01/1970 12:33:26 AM +0000,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,63 in. x 21 in. x 16 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 1 C,Porcelain,porcelain,San Francisco Arts Commission,Martha H.
531,2008,"Wagner, Catherine",01/01/1970 12:33:28 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 4 : Sava Pool : 19th Avenue and Ulloa,porcelain enamel,porcelain enamel,San Francisco Arts Commission,Swimmer's Waves
532,2008,"Zed, Dana",01/01/1970 12:33:28 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Portola Branch Library : Bacon and Goettengen Str,glass and stainless steel,glass and stainless steel,San Francisco Arts Commission,California Wildflowers
533,2008,"True, Laurel",01/01/1970 12:33:28 AM +0000,,,"-122.4573634,37.7240936","37.7240936,-122.4573634",Public Display : District 10 : Ocean and Granada Avenues,glazed ceramic tile,glazed ceramic tile,San Francisco Arts Commission,Sun Spheres
534,2008,"Kennedy, Deborah",01/01/1970 12:33:27 AM +0000,,,"-122.4479623,37.7336841","37.7336841,-122.4479623",Public Display : District 8 : Sunnyside Playground,Painted stainless steel,painted stainless steel,San Francisco Arts Commission,Solar Sight
535,2008,"Margrill, Anita and Nagasawa, Nobuho",2007-2008,"Collection of the City and County of San Francisco
Commissioned for the San Francisco Municipal Transportation Authority by the San Franciso Arts Commission",432 in. x 228 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Metro East Vehicles Operation and Maintenance Fac,Laminated glass,laminated glass,San Francisco Arts Commission,Blueprints
536,2008,"Chamberlain, Ann and Ho0d, Walter",2007-2008,Gift of the Abraham Lincoln Brigade Archives (ALBA) to the City and County of San Francisco,114 in. x 468 in. x 24 in.,"-122.3945938,37.7948985","37.7948985,-122.3945938",Public Display : District 3 : Embarcadero : Justin Herman Plaza,,,San Francisco Arts Commission,Abraham Lincoln Brigade National Monument
537,2008,"Hsu, Joyce",01/01/1970 12:33:28 AM +0000,,,"-122.389979,37.615223","37.615223,-122.389979",Airport : International terminal : Gate A-3,Anodized aluminum and stainless steel,anodized aluminum and stainless steel,San Francisco Arts Commission,Namoo House
538,2008,"Liu, Hung",2006-2008,,,"-122.389979,37.615223","37.615223,-122.389979",Airport : International Terminal : Gate A-5,oil and pigmented ink with gesso,oil and pigmented ink with gesso,San Francisco Arts Commission,Take Off
539,2008,"Daub, Firmin, Hendrickson Sculpture Group",01/01/1970 12:33:28 AM +0000,Gift to the City of San Francisco from the Harvey Milk City Hall Memorial Committee,,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : Supervisor's Rotunda,bronze and marble with gold leaf,bronze and marble with gold leaf,San Francisco Arts Commission,Harvey Milk Commemorative Bust
540,2008,"Finneran, Bean",01/01/1970 12:33:28 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 7 : Junipero Serra Playground : Recreation Center,Glazed ceramic tile,glazed ceramic tile,San Francisco Arts Commission,Untitled
541,2008,"Rodriguez, Isis",01/01/1970 12:33:28 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 9 : Rolph Playground : Exterior entryway gate,,,San Francisco Arts Commission,Untitled Rolph Playground]
542,2008,"Rodriguez, Isis",01/01/1970 12:33:28 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Potrero Del Sol Park : Exterior entryway gate,,,San Francisco Arts Commission,Untitled Potrero Del Sol Park]
543,2009,"deSoto, Lewis",2004-2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 116 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Historic Lobby,Tapestry,tapestry,San Francisco Arts Commission,1908: The Construction of Clarendon Hall
544,2009,"deSoto, Lewis",2004-2010,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Historic Lobby,Tapestry,tapestry,San Francisco Arts Commission,1929-1941: Patient Care During the Great Depression
545,2009,"deSoto, Lewis",2004-2010,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital  : Historic Lobby,Tapestry,tapestry,San Francisco Arts Commission,1947-1954: University of California . . .
546,2009,"deSoto, Lewis",2004-2010,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 in. x 120 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Historic Lobby,Tapestry,tapestry,San Francisco Arts Commission,1949-1958: Community Activities at Laguna Honda
547,2009,"Hall, Diane Andrews",01/01/1970 12:33:29 AM +0000,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 in. x 40 in. x 3/4 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Southeast Wall,Glass tile mosaic,glass tile mosaic,San Francisco Arts Commission,Goldfinch 5
548,2009,"Hall, Diane Andrews",01/01/1970 12:33:29 AM +0000,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 5/16 in. x 39 7/8 in. x 3/4 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Northwest Wall,Glass tile mosaic,glass tile mosaic,San Francisco Arts Commission,Goldfinch with Zinnia 2
549,2009,"Hall, Diane Andrews",01/01/1970 12:33:29 AM +0000,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,39 3/4 in. x 40 in. x 3/4 in.,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : Southwest Wall,Glass tile mosaic,glass tile mosaic,San Francisco Arts Commission,Hermit Thrush 2
550,2009,"Hall, Diane Andrews",01/01/1970 12:33:29 AM +0000,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Laguna Honda : North Residence : L1 : East Wall,Glass tile mosaic,glass tile mosaic,San Francisco Arts Commission,Morning Light 2
551,2009,"Powell, Eric",01/01/1970 12:33:29 AM +0000,Collection of the City and County of San Francisco. Commissioned for the Ingleside Branch Library by the San Francisco Arts Commission.,48 in. x 336 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 7 : Ingleside Branch Library : Ocean Avenue at Plymout,Steel,steel,San Francisco Arts Commission,Ocean Current
552,accession_id,artist,created_at,credit_line,display_dimensions,geometry,",geometry",location_description,medium,medium,source,title
553,2009,"Goggin, Brian and Keehn, Dorka",11/01/2008 07:00:00 AM +0000,,,"-122.4067221,37.7978885","37.7978885,-122.4067221",Public Display : District 3 : Broadway and Columbus,,,San Francisco Arts Commission,Language of the Birds
554,2009,Po Shu Wang,01/01/1970 12:33:25 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 5 : Octavia Blvd. between Market Street and Hayes Gree,Stainless steel and mirroed lenses,stainless steel and mirroed lenses,San Francisco Arts Commission,Ghinlon/Transcope
555,2009,"Roberts, Kent",01/01/1970 12:33:30 AM +0000,,,"-122.433021,37.801262","37.801262,-122.433021",Public Display : District 2 : Moscone Recreation Center,stainless steel and concrete,stainless steel and concrete,San Francisco Arts Commission,Passage
556,2009,"Richards, Peter and Schwartzenberg, Susan",01/01/1970 12:33:29 AM +0000,,,"-122.4195296,37.7176346","37.7176346,-122.4195296",Public Display : District 10 : McLaren Park,Granite,granite,San Francisco Arts Commission,Philosopher's Walk
557,2009,"Biaggi, Suzanne",01/01/1970 12:33:26 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Courtyard F,"Basalt, water and black pebbles","basalt, water and black pebbles",San Francisco Arts Commission,Patterns of Time and Place stone sculpture]
558,2009,"Bonner, Jonathan",01/01/1970 12:33:30 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Courtyard B,Lathe turned granite,lathe turned granite,San Francisco Arts Commission,Bloom
559,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Northwest wall #1,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
560,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Northwest wall #2,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
561,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Southwest wall #1,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
562,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Southwest wall #2,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
